node_id,address,leak,manual_address,longitude,latitude,api_check
14059450,Noordhavenpoort 42; 2152 HB; Nieuw Vennep; Netherlands.,Panama Papers,,4.6212176,52.2755185,True
14060218,Oosterduinweg 114; 2111 XK Aerdenhout; The Netherlands,Panama Papers,,4.6033552,52.367448,True
14060222,"OPERA 67, NEDERLAND 1507 VH ZAANDAM NETHERLANDS",Panama Papers,,4.8075336,52.4417748,True
14060298,OSSEHOEDERSTRAAT 57 9742TK GRONINGEN THE NETHERLANDS,Panama Papers,,6.5419794,53.2261054,True
14060333,Overschiestraat 184; F 1062 XK Amsterdam; Netherlands,Panama Papers,,4.8395022,52.3471951,True
14060371,Paardenkastanjeplein 1 1261 WG Blaricum The Netherlands,Panama Papers,,5.2765395,52.2908887,True
14060574,Papelaan 110; 1382 RP; Weesp; Netherlands,Panama Papers,,5.0345829,52.3130548,True
14060834,PELSTERSTRAAT 17-E 9711KH GRONINGEN THE NETHERLANDS,Panama Papers,,6.5660614,53.2166313,True
14061131,PIETER LANGENDIJKSTRAAT 34 II; 1054 ZB; AMSTERDAM; THE NETHERLANDS,Panama Papers,,4.8611805,52.3605131,True
14061163,PINNENBURGERWEG 53; 3881 VC PUTTEN; THE NETHERLANDS,Panama Papers,,5.6168095,52.2572402,True
14064357,Poonstraat 4; 1317 PA; Almere; The Netherlands,Panama Papers,,5.2340176,52.3923789,True
14064637,"Prins Bernhardplein 200, 1097JB Amsterdam",Panama Papers,,4.919771,52.3479361,True
14064638,PRINSENEILAND 20 E; 1013 LR; AMSTERDAM,Panama Papers,,4.886244502903175,52.3861509,True
14064639,Prinsengracht 353 A; 1016 HK Amsterdam; Netherlands,Panama Papers,,4.8832611,52.3720801,True
14064640,Prinsengratch 311B; Amsterdam; Netherlands; 1016GX,Panama Papers,,,,True
14064641,Prinses Margrietstraat 9 1077 KZ AMSTERDAM,Panama Papers,,4.8743704,52.343452,True
14064643,"Prins Hendrikstraat 28 4761 AH, Zevenbergen The Netherlands",Panama Papers,,4.610277,51.6439902,True
14064810,PUCCINIDREEF 13; 2253 SL VOORSCHOTEN; THE NETHERLANDS,Panama Papers,,4.4526141,52.1360925,True
14064862,PURMERDYK 5; 1446 RG; THE NETHERLANDS,Panama Papers,,,,True
14065130,Randweg 3; 6591 XD Gennep; Holland,Panama Papers,,5.9881385,51.6913648,True
14065250,Regenruti House Buochli PO Box 144 6373 Ennetburgen NETHERLANDS,Panama Papers,,,,True
14065269,Reinaldstraat 6; 6301 LE; Valkenburg A/D Geul; Netherlands,Panama Papers,,,,True
14065270,Reinwardtraat 232; 1093 HP; Amsterdam; the Netherlands,Panama Papers,,,,True
14065271,REINWARDTSTRAAT 232; 1093HP AMSTERDAM; GROTE WITTENBURGERSTRAAT 326 4; 1018L; J AMSTERDAM,Panama Papers,,,,True
14065563,RIETKERKWEG 63 3066 TN ROTTERDAM THE NETHERLANDS,Panama Papers,,4.556068,51.9336314,True
14065571,"Rijnzathe 4, 3454 PV De Meern Netherlands",Panama Papers,,5.0526242,52.0712669,True
14065572,Rijswijkseplein 195; 2516 LG Den Haag; Netherlands,Panama Papers,,4.3249104,52.0718707,True
14065634,"rins Hendrikstraat 28 4761 AH, Zevenbergen The Netherlands",Panama Papers,,,,True
14065651,"Riouwstraat 52 2585HC 'S-Gravenhage, Netherlands",Panama Papers,,4.2994999,52.0920077,True
14067573,Roerdomperf 16; 2251 WZ Voorschoten; The Netherlands,Panama Papers,,4.454128,52.120444,True
14075525,ROSASTRAAT 24; 6191 SV BEEK; NEDERLAND,Panama Papers,,5.8028782,50.9363037,True
14075575,"Rotterdam, Netherlands",Panama Papers,,4.47775,51.9244424,True
14077504,Schierstins 68; 1082 TJ Amsterdam; Netherlands,Panama Papers,,4.8747466,52.3337378,True
14077506,Schiphol Boulevard 231; 1118 BH Amsterdam-Schiphol; The Netherlands,Panama Papers,,,,True
14077507,SCHIPHOLWEG 66A 1ST FLOOR; 2316 XE LEIDEN; THE NETHERLANDS,Panama Papers,,,,True
14077520,Schokkerhaven 29,Panama Papers,,5.748425,52.6124745,True
14077521,Schoklandstrs 8; 7906 BT Moogeveen; Netherlands,Panama Papers,,,,True
14077522,"Scholeksterlaan 78, 3645 KO",Panama Papers,,,,True
14077529,"Schouwburgplein 30-34 3012 CL Rotterdam, The Netherlands",Panama Papers,,4.473962903715174,51.920909550000005,True
14077579,Scriveriusmate 3; 8014 JT Zwolle; The Netherlands,Panama Papers,,6.1183479,52.4851281,True
14077783,"s-Gravendijkwat 9A 3021Ea Rotterdam, Netherlands",Panama Papers,,,,True
14078369,Spoorven 20; Veghel; 5464 PA; Netherlands,Panama Papers,,5.5484357,51.6288165,True
14078529,"Statensingel 92-B 3039 Ls Rotterdam, The Netherlands",Panama Papers,,4.4588164,51.9283667,True
14078761,Strabachhof 8  6367 DE Voerendaal The Netherlands,Panama Papers,,5.9401494,50.8764722,True
14080514,Telestone 8 - Teleport; Naritag 165; 1043 BW Amsterdam; The Netherlands,Panama Papers,,,,True
14080558,TERGOUWEN 13; 6051 JE MAASBRACHT; THE NETHERLANDS,Panama Papers,,5.8989847,51.1433746,True
14080901,The Netherlands,Panama Papers,,5.541246849406163,52.24764975,True
14081160,Tholenseweg 30 1181KE Amstelveen Netherlands,Panama Papers,,4.8639266,52.3137603,True
14081271,Tolstraat 37A; Amsterdam; Netherlands 1073RT,Panama Papers,,4.9000472,52.3518381,True
14081946,UBS Jersey Telestone 8 - Teleport Naritaweg 165 1043 BW Amsterdam Netherlands,Panama Papers,,,,True
14083538,Van Breestraat 165 HS 1071 ZM Amsterdam Netherlands,Panama Papers,,,,True
14083539,Van Breestraat; 184 Amsterdam; The Netherlands 1071ZZ,Panama Papers,,4.8692309,52.3550508,True
14083556,VAN ENGELENWEG 23 P.O. BOX 3335 CURACAO NETHERLANDS  ANTILLES,Panama Papers,,,,True
14083564,VAN EWIJCKSKADE 1; 1761 JA; ANNA PAULOWNA; NETHERLANDS,Panama Papers,,4.8525963,52.8680314,True
14083565,VAN HEUVEN GOEDHARTLAAN 937; 1181LD AMSTELVEEN; NETHERLANDS,Panama Papers,,4.8709336,52.3118311,True
14083571,Van Leeuwenhoekweg 19 5482 TK Schijndel NL,Panama Papers,,5.4628742,51.6077705,True
14083657,"Varenkade 25 2661 PG Bergschenhoek, The Netherlands",Panama Papers,,4.5016889,51.9933462,True
14083706,Velddreef 396; 2727 CX; Zoetermeer; Netherlands,Panama Papers,,4.5164322,52.0696787,True
14083743,Verheeskade 25; The Hague; 2521 BE; The Netherlands; BILLIAUSHOLB,Panama Papers,,,,True
14083747,Verlengde Houtweg 5; 1251 EG; Laren; the Netherlands,Panama Papers,,5.2086208,52.254379,True
14084852,VREDERUSTLAAN 421; 2543TC; THE HAGUE; NETHERLANDS,Panama Papers,,4.2713158,52.0362142,True
14084858,"V Spilbergenstr 93 1 Amsterdam, The Netherlands",Panama Papers,,4.8507029,52.369009,True
14084881,Waarderstraat 65; 2729 MA Zoetermeer; Zoetenneer; Netherlands,Panama Papers,,,,True
14084883,Waddenring 120,Panama Papers,,4.4912127,51.8503017,True
14084884,Waddenring 120; 2993 VG; Barendrecht; The Netherlands,Panama Papers,,4.4912127,51.8503017,True
14084950,"WASSENAAR, NETHERLANDS",Panama Papers,,4.370966818678455,52.14361135,True
14084964,Waterpoortstraat 74931 AJ GeertruidenbergThe Netherlands,Panama Papers,,,,True
14084965,Waterpoortstraat 7; 4931 AJ; Geetruidenberg; The Netherlands,Panama Papers,,,,True
14084984,Weg van Ongenade 4-2; 8311RC Espel; The Netherlands,Panama Papers,,5.691606,52.7353064,True
14085052,West Nieuwlandseweg 8; 3253 LT OUDDORP; The Netherlands,Panama Papers,,3.8670628,51.8001794,True
14085083,Weverslaan 40; Voorburg; The Netherlands,Panama Papers,,4.370054,52.0726359,True
14085174,"Wikketuin 49, 4824 PN Breda The Netherlands",Panama Papers,,4.7419051,51.6029212,True
14085185,WILLEM ALEXANDERPARK 27; 2202 XW NOORDWIJK; THE NETHERLANDS,Panama Papers,,4.4431398,52.2497645,True
14085186,"WILLEM HEDASTRAAT, 85 / 1816 - KC - ALKMAAR - HOLLAND",Panama Papers,,4.7316832,52.6347189,True
14085703,ZANDWEG 40; 3601 AE MAARSEN; THE NETHERLANDS,Panama Papers,,,,True
14085716,Zeetjalk 1; BERGENOP ZOOM; 4617 GS; The Netherlands,Panama Papers,,,,True
14086455,Hennekijnstraat 242; FL. 18; 3012 EB Rotterdam; The Netherlands,Panama Papers,,,,True
14086473,Weena 327; 3013 AL Rotterdam; The Netherlands,Panama Papers,,4.4751237,51.9242682,True
14086702,Weg van Ongenade 4 2; 8311 RC ESPEL; Netherlands,Panama Papers,,5.691606,52.7353064,True
14086725,"Waddenring 120, 2993 VG Barendrecht.",Panama Papers,,4.4912127,51.8503017,True
14087447,Klinkenberg 89; Meerseen; Netherlands; 6231BB,Panama Papers,,,,True
14087484,Netherland Jan Luijkenstraat 68,Panama Papers,,,,True
14087610,St. Pieterstraat 1; Kerkrade; 6463 CP; Netherlands,Panama Papers,,6.0669638,50.8735629,True
14088561,19; President Kennedylaaah; 2517JK; the Hague; the Netherlands,Panama Papers,,,,True
14089115,Nieuwe Uitleg 28; 2514 BR The Hague; The Netherlands,Panama Papers,,4.3145866,52.0849365,True
14089486,"´s-Gravendijkwat 9A 3021Ea Rotterdam, Netherlands",Panama Papers,,,,True
14089613,Via Rossini 5; 2272 Voorburg; Netherlands,Panama Papers,,4.3775018,52.0869156,True
14089885,"Mendelssohn Straat 10, 3261 JL Oud-Beyerland",Panama Papers,,,,True
14090320,Heiakkerpad; 20; 4836 BG Breda; The Netherlands.,Panama Papers,,4.7492429,51.5408189,True
14090389,BORGERWEG 6; 2111 CG AERDENHOUT; THE NETHERLANDS,Panama Papers,,4.597727,52.3677072,True
14090442,Vogelzand 2406; 1788 GG Den Helder; the Netherlands,Panama Papers,,4.7366042,52.8962069,True
14098364,INFINTAX B.V. SOM 2 BUILDING; LEVEL 2 CLAUDE DEBUSSYLAAN 17 AMSTERDAM; 1082 MC THE NETHERLANDS,Panama Papers,,,,True
14098408,ING TRUST (NEDERLAND) B.V. TELEPORTBOULEVARD 140 1043 HJ AMSTERDAM THE NETHERLANDS,Panama Papers,,,,True
69082,Herengracht 96 4331 PZ Middelburg Netherland,Offshore Leaks,,,,True
105528,Eendendreef 60 2665 TB Bleiswijk Netherlands,Offshore Leaks,,4.537215,52.0057248,True
268366,Fred Roeskestraat 123 1076 EE Amsterdam THE NETHERLANDS,Offshore Leaks,,4.8594224,52.340987,True
104952,"Steenoven 3, 5626DK Eindhoven",Offshore Leaks,,5.42367,51.48342,True
259792,"Acacialaan 4, 2043 BW, Wassenaar, The Nertherlands",Offshore Leaks,,,,True
105398,Hermelijnstrat 50 6531 JZ Nijmegan Netherlands,Offshore Leaks,,,,True
105279,Klaverveld 163 2492 KB 'S-Gravenhage Netherlands,Offshore Leaks,,4.4044087,52.0709393,True
105281,"Kleine Tocht 7-B, 1507CB ZAANDAM, The Netherlands",Offshore Leaks,,4.8123826,52.4310424,True
105397,"Herenstraat 25, 4116Bk Buren Gld, Netherlands",Offshore Leaks,,,,True
105822,Amsteldijk 166-6 1079 LH Amsterdam The Netherlands,Offshore Leaks,,4.9136398,52.3424015,True
250546,35 Guylei 2930 Brasschaat Belgium Netherlands,Offshore Leaks,,,,True
120958,Croeselaan 18 Utrecht The Netherlands 3521 CB,Offshore Leaks,,,,True
269014,"HONDSDRAF 24, 5913 DA VENLO THE NETHERLANDS",Offshore Leaks,,6.1947683,51.3708821,True
172751,"Bilderdijklaan 16, 3743 HS Baarn, The Nertherlands",Offshore Leaks,,,,True
182293,Bobelkamp 18 1121 JV Landsmeer The Netherlands,Offshore Leaks,,4.9067144,52.4291963,True
171398,Leeuwerikshof 9 4223 ML Hoornaar Netherlands,Offshore Leaks,,4.9497602,51.8729334,True
261244,"Baronielaan 1, 4818 Pa Breda, The Netherlands",Offshore Leaks,,4.7784343,51.578618,True
279213,"NOORDEINDE 29, 1485 ET NOORDEINDE THE NETHERLANDS",Offshore Leaks,,4.8355993,52.57199,True
289118,"Zijdesingel 36, 2261CB Leidschendam, The Nertherlands",Offshore Leaks,,,,True
288783,"Westerduinweg 22, 2261VH Bentveld, The Netherlands",Offshore Leaks,,,,True
288752,Waterloostraat 74 2515 HW The Hague The Netherlands,Offshore Leaks,,4.3113132,52.070217,True
287210,Timberwolfstraat 19 Standdaarbuiten The Netherlands,Offshore Leaks,,4.5166662,51.6138451,True
280720,"Rietschoot 9, 1511 WB OOSTZAAN The Netherlands",Offshore Leaks,,4.8824515,52.4392734,True
280392,Prinses Irenestraat 61 1077 WV Amsterdam The Netherlands,Offshore Leaks,,4.8697721,52.3413538,True
279760,P.O. Box 77900 Bldg HBT 8.2 1070 MX Amsterdam The Netherlands,Offshore Leaks,,,,True
271974,"Middelwijkstraat 22, 3764 CG Soest The Netherlands",Offshore Leaks,,5.3068388,52.1772679,True
268966,"Herengracht 469, 1017BS, Amsterdam, Netherlands",Offshore Leaks,,4.8895024,52.3665015,True
261458,"Berg en Heideweg 2, 6881 PK Velp Gld, The Nertherlands",Offshore Leaks,,,,True
260920,"Artemisstraat 58, V1076DW Amserdam, The Nertherlands",Offshore Leaks,,,,True
